distance,linear_encoder_position,measurement_delta,linear_encoder_timestamp,distance_timestamp,measurement_time_delta
"[0.6862278046505653, 0]",8,7.313772195349435,1711822898.1061656,1711822898.104361,0.0018045902252197266
"[0.6857413315428393, 0]",0,0.6857413315428393,1711822898.267371,1711822898.2663834,0.0009875297546386719
"[0.6922906338291663, 0]",1,0.30770936617083366,1711822898.398958,1711822898.397951,0.001007080078125
"[0.6877407535405176, 0]",2,1.3122592464594824,1711822898.5298936,1711822898.5289056,0.000988006591796875
"[0.6972889193960607, 0]",0,0.6972889193960607,1711822898.7183168,1711822898.7163165,0.0020003318786621094
"[0.7073270826578715, 0]",6,5.292672917342129,1711822898.8509357,1711822898.8489351,0.002000570297241211
"[0.6871053377933127, 0]",0,0.6871053377933127,1711822898.984749,1711822898.9837346,0.0010144710540771484
"[0.6854463875483048, 0]",0,0.6854463875483048,1711822899.1696422,1711822899.1686616,0.0009806156158447266
"[0.6858933058514516, 0]",9,8.314106694148549,1711822899.3012452,1711822899.3002353,0.0010099411010742188
"[0.6865352306622126, 0]",8,7.313464769337788,1711822899.4340024,1711822899.432994,0.0010085105895996094
"[0.687917640610258, 0]",5,4.312082359389742,1711822899.630115,1711822899.6291356,0.0009794235229492188
"[0.6936796162007601, 0]",2,1.3063203837992399,1711822899.7618358,1711822899.759856,0.001979827880859375
